key_point_id,key_point,topic,stance
kp_0_0,Η υποβοηθούμενη αυτοκτονία δίνει αξιοπρέπεια στο άτομο που θέλει να την διαπράξει,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,-1
kp_0_1,Η υποβοηθούμενη αυτοκτονία μειώνει τον πόνο,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,-1
kp_0_2,Οι άνθρωποι θα πρέπει να έχουν την ελευθερία να επιλέξουν να τερματίσουν τη ζωή τους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,-1
kp_0_3,Οι ανίατα άρρωστοι θα ωφελούνταν από την υποβοηθούμενη αυτοκτονία,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,-1
kp_0_4,Η υποβοηθούμενη αυτοκτονία επιτρέπει στους ανθρώπους να ζητήσουν από κάποιον να πεθάνει για το δικό τους όφελος,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,1
kp_0_5,Η υποβοηθούμενη αυτοκτονία είναι παρόμοια με το να σκοτώσεις κάποιον,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,1
kp_0_6,Η υποβοηθούμενη αυτοκτονία δεν πρέπει να επιτρέπεται γιατί πολλές φορές οι άνθρωποι μπορούν ακόμα να βελτιωθούν,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,1
kp_0_7,Η υποβοηθούμενη αυτοκτονία παραβιάζει το ρόλο του γιατρού,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,1
kp_0_8,Οι άνθρωποι δεν έχουν το δικαίωμα να βλάψουν τον εαυτό τους/τους άλλους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,1
kp_0_9,Οι άνθρωποι που είναι άρρωστοι δεν έχουν σαφή κρίση και χρειάζονται βοήθεια,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα,1
kp_1_0,Η κατ’ οίκον εκπαίδευση είναι συχνά η καλύτερη επιλογή για την κάλυψη των αναγκών των εξαιρετικών/θρησκευτικών/αρρώστων/αναπήρων μαθητών.,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,-1
kp_1_1,Η κατ’ οίκον εκπαίδευση μπορεί να προσαρμοστεί στο ρυθμό/τις ανάγκες του παιδιού,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,-1
kp_1_2,Τα συμβατικά σχολεία έχουν πολλή βία/εκφοβισμό,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,-1
kp_1_3,Οι γονείς θα πρέπει να έχουν τη δυνατότητα να επιλέγουν την εκπαίδευση των παιδιών τους,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,-1
kp_1_4,Οι γονείς θα έχουν περισσότερη ικανότητα να δώσουν προσοχή/να εκπαιδεύσουν το παιδί τους,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,-1
kp_1_5,Το σπίτι είναι ένα καλό περιβάλλον μάθησης,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,-1
kp_1_6,Τα κανονικά σχολεία είναι απαραίτητα για την ανάπτυξη κοινωνικών δεξιοτήτων,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,1
kp_1_7,Οι γονείς δεν έχουν τα προσόντα για να γίνουν δάσκαλοι,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,1
kp_1_8,Τα κατ’ οίκον σχολεία δεν μπορούν να ρυθμιστούν/τυποποιηθούν,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,1
kp_1_9,Τα σχολεία της γενικής εκπαίδευσης είναι υψηλότερης εκπαιδευτικής ποιότητας,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί,1
kp_2_0,Η αγαμία επιτρέπει στον ιερέα να επικεντρωθεί στο Θεό,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,-1
kp_2_1,Η αγαμία είναι μια ισχυρή θρησκευτική πεποίθηση,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,-1
kp_2_2,Η αγαμία κάνει τους ιερείς να γίνονται αντιληπτοί ως άγιοι,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,-1
kp_2_3,Οι ιερείς επιλέγουν να είναι άγαμοι,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,-1
kp_2_4,Θρησκευτικές εμπειρίες και παραδόσεις πρέπει να διατηρηθούν,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,-1
kp_2_5,Η κατάργηση της αγαμίας θα μπορούσε να οδηγήσει σε σεξουαλικά απρόσεκτες πράξεις,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,-1
kp_2_6,Η αγαμία είναι ξεπερασμένη,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,1
kp_2_7,Η αγαμία είναι πολύ πιεστική/δύσκολη,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,1
kp_2_8,Η αγαμία είναι ανθυγιεινή/αφύσικη,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,1
kp_2_9,Η αγαμία οδηγεί σε λανθασμένη σεξουαλική συμπεριφορά,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,1
kp_2_10,Η αγαμία μειώνει την ποσότητα των ανθρώπων που θέλουν να γίνουν ιερείς,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί,1
kp_3_0,Γαμήλια επιδόματα τέκνων,Πρέπει να εγκαταλείψουμε το γάμο,-1
kp_3_1,"Ο γάμος είναι σημαντικός για τους ανθρώπους, είτε γενικά είτε για θρησκευτικούς/παραδοσιακούς λόγους",Πρέπει να εγκαταλείψουμε το γάμο,-1
kp_3_2,Ο γάμος κάνει τους ανθρώπους ευτυχισμένους,Πρέπει να εγκαταλείψουμε το γάμο,-1
kp_3_3,Ο γάμος κάνει το ζευγάρι πιο κοντά,Πρέπει να εγκαταλείψουμε το γάμο,-1
kp_3_4,Ο γάμος παρέχει σημαντικά οικονομικά οφέλη,Πρέπει να εγκαταλείψουμε το γάμο,-1
kp_3_5,Ο γάμος διατηρεί κανόνες που είναι επιβλαβείς για τις γυναίκες,Πρέπει να εγκαταλείψουμε το γάμο,1
kp_3_6,Οι γάμοι είναι ασταθείς,Πρέπει να εγκαταλείψουμε το γάμο,1
kp_3_7,Οι γάμοι δένουν τους ανθρώπους με άδικες υποχρεώσεις,Πρέπει να εγκαταλείψουμε το γάμο,1
kp_3_8,Τα περισσότερα από τα πλεονεκτήματα του γάμου επιτυγχάνονται με μια μονογαμική σχέση,Πρέπει να εγκαταλείψουμε το γάμο,1
kp_5_0,Η θανατική ποινή βοηθά το θύμα/την οικογένειά του,Πρέπει να καταργήσουμε τη θανατική ποινή,-1
kp_5_1,Η θανατική ποινή είναι αναλογική,Πρέπει να καταργήσουμε τη θανατική ποινή,-1
kp_5_2,Η θανατική ποινή αποτρέπει τα εγκλήματα,Πρέπει να καταργήσουμε τη θανατική ποινή,-1
kp_5_3,Η θανατική ποινή εξοικονομεί κόστος για το κράτος,Πρέπει να καταργήσουμε τη θανατική ποινή,-1
kp_5_4,Η θανατική ποινή είναι αποδεκτή σε περιπτώσεις σοβαρών εγκλημάτων,Πρέπει να καταργήσουμε τη θανατική ποινή,-1
kp_5_5,Η κρατικά επικυρωμένη δολοφονία είναι καταρχήν λάθος,Πρέπει να καταργήσουμε τη θανατική ποινή,1
kp_5_6,Η θανατική ποινή βλάπτει τους άνεργους,Πρέπει να καταργήσουμε τη θανατική ποινή,1
kp_5_7,Η θανατική ποινή μη αναστρέψιμη,Πρέπει να καταργήσουμε τη θανατική ποινή,1
kp_5_8,Η θανατική ποινή είναι σπατάλη πόρων,Πρέπει να καταργήσουμε τη θανατική ποινή,1
kp_5_9,Η θανατική ποινή είναι αναποτελεσματική στην αποτροπή εγκλημάτων,Πρέπει να καταργήσουμε τη θανατική ποινή,1
kp_6_0,Τα δικαιώματα πνευματικής ιδιοκτησίας παρέχουν κίνητρα για δημιουργικότητα/καινοτομία,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,-1
kp_6_1,Τα δικαιώματα πνευματικής ιδιοκτησίας παρέχουν κίνητρα για επενδύσεις στην ανάπτυξη νέων προϊόντων,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,-1
kp_6_2,"Οι άνθρωποι, ή μια επιχείρηση, είναι κύριοι των καινοτομιών τους και θα πρέπει να μπορούν να αποζημιώνονται για την προσπάθειά τους",Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,-1
kp_6_3,Τα δικαιώματα πνευματικής ιδιοκτησίας προστατεύουν από την κλοπή,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,-1
kp_6_4,Η πνευματική ιδιοκτησία περιορίζει την πρόσβαση σε σημαντικές πληροφορίες/προϊόντα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,1
kp_6_5,τα δικαιώματα πνευματικής ιδιοκτησίας είναι άκυρα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,1
kp_6_6,Τα δικαιώματα πνευματικής ιδιοκτησίας είναι αθέμιτα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,1
kp_6_7,Τα δικαιώματα πνευματικής ιδιοκτησίας σπαταλούν χρήματα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,1
kp_6_8,Η πνευματική ιδιοκτησία εμποδίζει τη συνεχή βελτίωση μιας υπηρεσίας/προϊόντος,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,1
kp_6_9,Τα δικαιώματα πνευματικής ιδιοκτησίας βλάπτουν τη δημιουργικότητα/καινοτομία,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας,1
kp_9_0,Ο αθεϊσμός στερείται ηθικής,Πρέπει να υιοθετήσουμε τον αθεϊσμό,-1
kp_9_1,Οι άνθρωποι πρέπει να επιλέξουν οι ίδιοι αν θα υιοθετήσουν τον Αθεϊσμό,Πρέπει να υιοθετήσουμε τον αθεϊσμό,-1
kp_9_2,Ο αθεϊσμός κάνει διακρίσεις εναντίον των θρησκευόμενων ανθρώπων / παραβιάζει την ελευθερία της θρησκείας,Πρέπει να υιοθετήσουμε τον αθεϊσμό,-1
kp_9_3,Ο αθεϊσμός είναι επωφελής για το άτομο που τον υιοθετεί,Πρέπει να υιοθετήσουμε τον αθεϊσμό,1
kp_9_4,Ο αθεϊσμός πρέπει να υιοθετηθεί αφού δεν μπορούμε να αποδείξουμε ότι υπάρχει Θεός,Πρέπει να υιοθετήσουμε τον αθεϊσμό,1
kp_9_5,Οι θρησκείες είναι ανήθικες και οι άνθρωποι δεν πρέπει να τις ακολουθούν,Πρέπει να υιοθετήσουμε τον αθεϊσμό,1
kp_9_6,Η επιστήμη μπορεί να εξηγήσει επαρκώς το Σύμπαν,Πρέπει να υιοθετήσουμε τον αθεϊσμό,1
kp_10_0,Ο ελευθεριωτισμός βλάπτει την οικονομική ανάπτυξη,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,-1
kp_10_1,Ο ελευθεριωτισμός βλάπτει τις μειονότητες/αυτούς που είναι χειρότερα,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,-1
kp_10_2,Ο ελευθεριωτισμός είναι άδικος/μη ίσος,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,-1
kp_10_3,Ο ελευθεριωτισμός αφαιρεί βασικούς νόμους/υποδομές/κυβερνητικές υπηρεσίες,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,-1
kp_10_4,Η κυβέρνηση είναι απαραίτητη για την προστασία των δικαιωμάτων των πολιτών,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,-1
kp_10_5,Ο ελευθεριωτισμός αυξάνει την ελευθερία στο πολιτικό σύστημα,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,1
kp_10_6,Ο ελευθεριωτισμός αυξάνει την ευτυχία/εκπλήρωση,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,1
kp_10_7,Ο ελευθεριωτισμός αυξάνει την οικονομική ανάπτυξη,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,1
kp_10_8,Ο ελευθεριωτισμός αυξάνει την ατομική ελευθερία/ελευθερίες,Πρέπει να υιοθετήσουμε τον ελευθεριασμό,1
kp_11_0,Η κλωνοποίηση μπορεί να χρησιμοποιηθεί για την αναπαραγωγή οργάνων,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,-1
kp_11_1,Η κλωνοποίηση βοηθά όσους δεν μπορούν να αποκτήσουν παιδί με άλλο τρόπο,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,-1
kp_11_2,Η κλωνοποίηση προάγει την υγεία,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,-1
kp_11_3,Η κλωνοποίηση προωθεί την επιστήμη/έρευνα,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,-1
kp_11_4,Η κλωνοποίηση μπορεί να χρησιμοποιηθεί για να δημιουργηθούν πιο προηγμένοι άνθρωποι,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,-1
kp_11_5,Η κλωνοποίηση δεν είναι αρκετά κατανοητή ακόμα,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,1
kp_11_6,Η κλωνοποίηση είναι ανήθικη/αντιθρησκευτική,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,1
kp_11_7,Η κλωνοποίηση είναι αφύσικη,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,1
kp_11_8,Η κλωνοποίηση είναι επικίνδυνη,Πρέπει να απαγορεύσουμε την ανθρώπινη κλωνοποίηση,1
kp_12_0,Η πρόσληψη ιδιωτικών στρατιωτικών εταιρειών είναι οικονομικά επωφελής,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,-1
kp_12_1,Οι ιδιωτικές στρατιωτικές εταιρείες είναι καλά εκπαιδευμένες/καλύτερα εξοπλισμένες,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,-1
kp_12_2,Οι ιδιωτικές στρατιωτικές εταιρείες μπορούν να συμπληρώσουν τους τακτικούς στρατούς σε συγκεκριμένα καθήκοντα που οι στρατοί δεν μπορούν ή δεν θέλουν να κάνουν,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,-1
kp_12_3,Οι ιδιωτικές στρατιωτικές εταιρείες αυξάνουν την ασφάλεια,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,-1
kp_12_4,Οι ιδιωτικές στρατιωτικές εταιρείες δεν είναι επαγγελματικές,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,1
kp_12_5,Το κύριο ενδιαφέρον των ιδιωτικών στρατιωτικών εταιρειών είναι το κέρδος,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,1
kp_12_6,Οι ιδιωτικές στρατιωτικές εταιρείες επιδιώκουν να εμπλακούν ή να παρατείνουν τη σύγκρουση,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,1
kp_12_7,Οι ιδιωτικές στρατιωτικές εταιρείες είναι λιγότερο ηθικές και παραβιάζουν δικαιώματα ή διαπράττουν εγκλήματα,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,1
kp_12_8,Οι ιδιωτικές στρατιωτικές εταιρείες δεν μπορούν να εμπιστευτούν ότι είναι πιστές στη χώρα που τις προσλαμβάνει,Πρέπει να απαγορεύσουμε τις ιδιωτικές στρατιωτικές εταιρείες,1
kp_13_0,Η δράση μπορεί να είναι το όνειρο του παιδιού,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,-1
kp_13_1,Οι παιδικοί ερμηνευτές επιτυγχάνουν επιτυχία/αυτοπεποίθηση,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,-1
kp_13_2,Οι παιδικοί ερμηνευτές είναι απαραίτητοι για τους ρόλους,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,-1
kp_13_3,"Οι ανήλικοι ερμηνευτές δεν πρέπει να απαγορεύονται, αρκεί να υπάρχει εποπτεία/ρύθμιση",Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,-1
kp_13_4,Οι γονείς πρέπει να αποφασίσουν για το παιδί τους,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,-1
kp_13_5,Το να είσαι ερμηνευτής βλάπτει την εκπαίδευση του παιδιού,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,1
kp_13_6,Τα παιδιά ερμηνευτές χάνουν την παιδική τους ηλικία,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,1
kp_13_7,Οι παιδικοί ερμηνευτές υφίστανται μεγάλη πίεση,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,1
kp_13_8,Τα παιδιά ερμηνευτές τείνουν να αναπτύσσουν προβλήματα αργότερα στη ζωή,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,1
kp_13_9,Τα παιδιά ερμηνευτές κινδυνεύουν από εκμετάλλευση,Πρέπει να απαγορεύσουμε τη χρήση παιδιών ηθοποιών,1
kp_14_0,Το κλείσιμο του στρατοπέδου κράτησης του Γκουαντάναμο θα βλάψει την εθνική ασφάλεια,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο,-1
kp_14_1,Το στρατόπεδο κράτησης του Γκουαντάναμο είναι καλύτερο για τους κρατουμένους από τις εναλλακτικές λύσεις,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο,-1
kp_14_2,Το στρατόπεδο κράτησης του Γκουαντάναμο είναι απαραίτητο για την απόκτηση πληροφοριών,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο,-1
kp_14_3,Οι κρατούμενοι έχουν το δικαίωμα να δικαστούν στα δικαστήρια των ΗΠΑ,Πρέπει να κλείσουμε το στρατόπεδο κράτησης του Γκουαντάναμο,1
