argument,topic
Οι άνθρωποι φτάνουν στο όριο της ποιότητας ζωής τους και θα πρέπει να είναι σε θέση να τερματίσουν τον πόνο τους.Αυτό μπορεί να γίνει με ελάχιστο ή καθόλου πόνο με βοήθεια και το άτομο είναι σε θέση να πει αντίο.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Ένας ασθενής θα πρέπει να είναι σε θέση να αποφασίσει πότε έχει λάβει αρκετή «φροντίδα».,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Ένα άτομο έχει το δικαίωμα να θέσει τέλος στον πόνο του και αν κάποιος τον λυπηθεί και επιλέξει να τον βοηθήσει, αυτό το άτομο δεν θα πρέπει να τιμωρείται.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Ένα άτομο θα πρέπει να έχει την αξιοπρέπεια να επιλέξει πώς θα πεθάνει,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Ένα άτομο θα πρέπει να έχει το δικαίωμα να μπορεί να επιλέξει αν θέλει να ζήσει ή να πεθάνει,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Ένα άτομο θα πρέπει να έχει το δικαίωμα να πεθάνει με τους δικούς του όρους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Ένα άτομο δεν πρέπει να αναγκάζεται να ζει τη ζωή του υποφέροντας, όταν ο θάνατος είναι ήδη αναπόφευκτος",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία επιτρέπει σε ένα άτομο που είναι άρρωστο και καταλαβαίνει πλήρως τι γίνεται για να τερματιστεί ο πόνος του όταν δεν μπορεί να εξασφαλιστεί η ποιότητα ζωής του,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία επιτρέπει σε κάποιον να τερματίσει τον τελικό πόνο και τα βάσανα και θα πρέπει να επιτρέπεται να συνεχίσει.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία επιτρέπει σε ανθρώπους που έχουν τρομερές συνθήκες υγείας να πεθάνουν με αξιοπρέπεια.Αν η υποβοηθούμενη αυτοκτονία είναι έγκλημα, μπορεί να πρέπει να υπομείνουν πολλά περισσότερα χρόνια ζωής σε αγωνία.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία επιτρέπει σε ασθενείς με ανίατες ασθένειες να πεθάνουν με αξιοπρέπεια και δεν θα πρέπει να ποινικοποιείται,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία επιτρέπει σε άτομα με ανίατες ασθένειες να επιλέξουν πότε θα πεθάνουν και να το κάνουν με αξιοπρέπεια.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία και το δικαίωμα να ζει κανείς με αξιοπρέπεια είναι ανθρώπινο δικαίωμα και πρέπει να νομιμοποιηθεί παντού. "" επιλογή να μην υποφέρει κανείς από μια θανατηφόρα ασθένεια είναι ανθρώπινο δικαίωμα.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία δίνει στους ανθρώπους τον έλεγχο της ζωής τους σε τρομερές συνθήκες, τους επιτρέπει να πεθάνουν με αξιοπρέπεια αντί να ζουν σε τρομερές συνθήκες για πολλά χρόνια.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία βοηθά τους ασθενείς να τερματίσουν τον πόνο τους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία βοηθά όσους υποφέρουν από μια καταστροφική ασθένεια να τερματίσουν τη ζωή τους με τους δικούς τους όρους.,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
"Η υποβοηθούμενη αυτοκτονία είναι μια ευλογία και όχι ένα έγκλημα.Ένα άτομο που θέλει να βοηθηθεί σε αυτό είναι σε μεγάλο πόνο ή δεν έχει τη δυνατότητα να θεραπευτεί, αφήστε κάποιον να δώσει τα βάσανα την ευκαιρία να το τελειώσει.",Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
