key_point,topic
Η υποβοηθούμενη αυτοκτονία δίνει αξιοπρέπεια στο άτομο που θέλει να την διαπράξει,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία μειώνει τον πόνο,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι θα πρέπει να έχουν την ελευθερία να επιλέξουν να τερματίσουν τη ζωή τους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι ανίατα άρρωστοι θα ωφελούνταν από την υποβοηθούμενη αυτοκτονία,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία επιτρέπει στους ανθρώπους να ζητήσουν από κάποιον να πεθάνει για το δικό τους όφελος,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία είναι παρόμοια με το να σκοτώσεις κάποιον,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία δεν πρέπει να επιτρέπεται γιατί πολλές φορές οι άνθρωποι μπορούν ακόμα να βελτιωθούν,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η υποβοηθούμενη αυτοκτονία παραβιάζει το ρόλο του γιατρού,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι δεν έχουν το δικαίωμα να βλάψουν τον εαυτό τους/τους άλλους,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Οι άνθρωποι που είναι άρρωστοι δεν έχουν σαφή κρίση και χρειάζονται βοήθεια,Η υποβοηθούμενη αυτοκτονία θα πρέπει να είναι ποινικό αδίκημα
Η κατ’ οίκον εκπαίδευση είναι συχνά η καλύτερη επιλογή για την κάλυψη των αναγκών των εξαιρετικών/θρησκευτικών/αρρώστων/αναπήρων μαθητών.,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Η κατ’ οίκον εκπαίδευση μπορεί να προσαρμοστεί στο ρυθμό/τις ανάγκες του παιδιού,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Τα συμβατικά σχολεία έχουν πολλή βία/εκφοβισμό,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Οι γονείς θα πρέπει να έχουν τη δυνατότητα να επιλέγουν την εκπαίδευση των παιδιών τους,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Οι γονείς θα έχουν περισσότερη ικανότητα να δώσουν προσοχή/να εκπαιδεύσουν το παιδί τους,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Το σπίτι είναι ένα καλό περιβάλλον μάθησης,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Τα κανονικά σχολεία είναι απαραίτητα για την ανάπτυξη κοινωνικών δεξιοτήτων,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Οι γονείς δεν έχουν τα προσόντα για να γίνουν δάσκαλοι,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Τα κατ’ οίκον σχολεία δεν μπορούν να ρυθμιστούν/τυποποιηθούν,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Τα σχολεία της γενικής εκπαίδευσης είναι υψηλότερης εκπαιδευτικής ποιότητας,Η κατ’ οίκον εκπαίδευση θα πρέπει να απαγορευτεί
Η αγαμία επιτρέπει στον ιερέα να επικεντρωθεί στο Θεό,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία είναι μια ισχυρή θρησκευτική πεποίθηση,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία κάνει τους ιερείς να γίνονται αντιληπτοί ως άγιοι,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Οι ιερείς επιλέγουν να είναι άγαμοι,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Θρησκευτικές εμπειρίες και παραδόσεις πρέπει να διατηρηθούν,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η κατάργηση της αγαμίας θα μπορούσε να οδηγήσει σε σεξουαλικά απρόσεκτες πράξεις,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία είναι ξεπερασμένη,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία είναι πολύ πιεστική/δύσκολη,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία είναι ανθυγιεινή/αφύσικη,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία οδηγεί σε λανθασμένη σεξουαλική συμπεριφορά,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Η αγαμία μειώνει την ποσότητα των ανθρώπων που θέλουν να γίνουν ιερείς,Ο όρκος της αγαμίας πρέπει να εγκαταλειφθεί
Γαμήλια επιδόματα τέκνων,Πρέπει να εγκαταλείψουμε το γάμο
"Ο γάμος είναι σημαντικός για τους ανθρώπους, είτε γενικά είτε για θρησκευτικούς/παραδοσιακούς λόγους",Πρέπει να εγκαταλείψουμε το γάμο
Ο γάμος κάνει τους ανθρώπους ευτυχισμένους,Πρέπει να εγκαταλείψουμε το γάμο
Ο γάμος κάνει το ζευγάρι πιο κοντά,Πρέπει να εγκαταλείψουμε το γάμο
Ο γάμος παρέχει σημαντικά οικονομικά οφέλη,Πρέπει να εγκαταλείψουμε το γάμο
Ο γάμος διατηρεί κανόνες που είναι επιβλαβείς για τις γυναίκες,Πρέπει να εγκαταλείψουμε το γάμο
Οι γάμοι είναι ασταθείς,Πρέπει να εγκαταλείψουμε το γάμο
Οι γάμοι δένουν τους ανθρώπους με άδικες υποχρεώσεις,Πρέπει να εγκαταλείψουμε το γάμο
Τα περισσότερα από τα πλεονεκτήματα του γάμου επιτυγχάνονται με μια μονογαμική σχέση,Πρέπει να εγκαταλείψουμε το γάμο
Η θανατική ποινή βοηθά το θύμα/την οικογένειά του,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή είναι αναλογική,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή αποτρέπει τα εγκλήματα,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή εξοικονομεί κόστος για το κράτος,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή είναι αποδεκτή σε περιπτώσεις σοβαρών εγκλημάτων,Πρέπει να καταργήσουμε τη θανατική ποινή
Η κρατικά επικυρωμένη δολοφονία είναι καταρχήν λάθος,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή βλάπτει τους άνεργους,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή μη αναστρέψιμη,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή είναι σπατάλη πόρων,Πρέπει να καταργήσουμε τη θανατική ποινή
Η θανατική ποινή είναι αναποτελεσματική στην αποτροπή εγκλημάτων,Πρέπει να καταργήσουμε τη θανατική ποινή
Τα δικαιώματα πνευματικής ιδιοκτησίας παρέχουν κίνητρα για δημιουργικότητα/καινοτομία,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Τα δικαιώματα πνευματικής ιδιοκτησίας παρέχουν κίνητρα για επενδύσεις στην ανάπτυξη νέων προϊόντων,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
"Οι άνθρωποι, ή μια επιχείρηση, είναι κύριοι των καινοτομιών τους και θα πρέπει να μπορούν να αποζημιώνονται για την προσπάθειά τους",Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Τα δικαιώματα πνευματικής ιδιοκτησίας προστατεύουν από την κλοπή,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Η πνευματική ιδιοκτησία περιορίζει την πρόσβαση σε σημαντικές πληροφορίες/προϊόντα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
τα δικαιώματα πνευματικής ιδιοκτησίας είναι άκυρα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Τα δικαιώματα πνευματικής ιδιοκτησίας είναι αθέμιτα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
Τα δικαιώματα πνευματικής ιδιοκτησίας σπαταλούν χρήματα,Πρέπει να καταργήσουμε τα δικαιώματα πνευματικής ιδιοκτησίας
