Meltemi_Instruct_16shot,Representative_Docs,topic,stance,rouge1_score,f1_bertscore
Οι ΗΠΑ αντιμετωπίζουν σοβαρά κοινωνικά και οικονομικά προβλήματα,"['η κατάσταση αγωνίας που βιώνουν πολλές από τις μεγάλες πόλεις των ΗΠΑ έρχεται σε αντίθεση με την ποιότητα ζωής. Οι νόμοι, σε ορισμένες άκαμπτες περιπτώσεις, στρέφονται εναντίον των απλών πολιτών.', 'Οι ΗΠΑ δεν είναι ένα καλό μέρος για να ζει κανείς, λόγω της μεγάλης ψαλίδας μεταξύ πλούσιων και φτωχών. Οι φτωχότεροι της κοινωνίας δεν έχουν πρόσβαση ούτε σε καλή υγειονομική περίθαλψη, ούτε σε επαρκές σύστημα παροχών.', 'Οι ΗΠΑ προβάλλουν την εικόνα μιας επιτυχημένης ζωής για τους πολίτες τους, αλλά υπάρχει τεράστιο ποσοστό φτώχειας, έλλειψη καλά αμειβόμενων θέσεων εργασίας και κυρίως προκατάληψη απέναντι στις διάφορες εθνοκότητες.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.23529411764705882,0.8042846918106079
Οι Ηνωμένες Πολιτείες έχουν ένα ιστορικό φυλετικών διακρίσεων,"['Οι Ηνωμένες Πολιτείες υπήρξαν για χρόνια κοιτίδα ρατσισμού κατά των πολιτισμών των μειονοτήτων', 'αντιθέτως, δεν την προτείνω για τους ξένους της Λατινικής Αμερικής, υπάρχει πολύς ρατσισμός', 'Αν έχεις σκούρο δέρμα ή είσαι Λατίνος, οι ευκαιρίες σου μειώνονται στο ελάχιστο. Θεωρώ ότι υπάρχουν άλλες χώρες όπως για παράδειγμα, οι χώρες της Ευρώπης. Η Αμερική δεν είναι το άπιαστο όνειρο.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.11764705882352941,0.8143470883369446
Διακρίσεις στην αγορά εργασίας,"['σε ορισμένα μέρη δεν σου δίνεται η ευκαιρία να εργαστείς, απλά και μόνο επειδή είσαι μετανάστης ή έγχρωμος', 'Είμαστε ένα έθνος που έχει γεμίσει με νόμιμους και παράνομους μετανάστες οι οποίοι αναζητούν ευκαιρίες, γεγονός που προκαλεί έντονο ανταγωνισμό', 'Στην χώρα αυτή αντιμετωπίζει κανείς πολλές διακρίσεις σε όλους τους τομείς, και αυτό το θέμα της εργασίας επηρεάζει πολύ τους πολίτες. Οπότε παραμένει υπό αμφισβήτηση το αν είναι μια καλή χώρα για να ζει κανείς ή όχι.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.0,0.7724107503890991
Η εγκληματικότητα στις ΗΠΑ είναι ένα σημαντικό πρόβλημα,"['σε ορισμένες πολιτείες εξακολουθούν να υπάρχουν πολλές ληστείες και εγκλήματα στα οποία εμπλέκονται αθώοι άνθρωποι', 'πρόσφατα προέκυψαν πολλά πολιτικά προβλήματα, τα οποία, πολύ φοβάμαι, θα δυσκολέψουν τη ζωή εκεί, συν το ότι κάποιες περιοχές δεν έχουν την πρέπουσα προσοχή από την κυβέρνηση', 'Οι ΗΠΑ δεν είναι πλέον ένα καλό μέρος για να ζει κανείς. Έχουν γίνει ένα καταφύγιο για πρόσφυγες, μια χώρα κοινωνικών υπηρεσιών και ένα μέρος όπου οι εγκληματίες έχουν περισσότερα δικαιώματα από τους νομοταγείς πολίτες.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.25,0.7730885148048401
Η υγειονομική περίθαλψη και η εκπαίδευση είναι πολύ ακριβές στις ΗΠΑ,"['υπάρχει πολύ υψηλό ποσοστό ανεργίας και οι υπηρεσίες είναι πολύ ακριβές', 'η υγειονομική περίθαλψη και η εκπαίδευση είναι υπερβολικά ακριβές για τη μεσαία τάξη', 'Είναι πολύ δύσκολο να ζει κανείς στις ΗΠΑ, διότι το κόστος ζωής είναι πολύ υψηλό και ακόμη και μια επίσκεψη στον γιατρό μπορεί να είναι εξαιρετικά δαπανηρή']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.2222222222222222,0.7779853343963623
Το σύστημα υγείας των ΗΠΑ είναι πολύ ακριβό και δημιουργεί διακρίσεις,"['στις ΗΠΑ το σύστημα υγείας είναι πολύ ακριβό και δημιουργεί διακρίσεις εις βάρος του φτωχού πληθυσμού', 'Υπάρχει μεγάλη φτώχεια στις ΗΠΑ και δεν έχουν καλό σύστημα υγειονομικής περίθαλψης, οι άνθρωποι πολύ συχνά δεν μπορούν να πληρώσουν ακόμη και για τη βασική υγειονομική περίθαλψη', 'Οι Ηνωμένες Πολιτείες κατατάσσονται πλέον μεταξύ των χειρότερων τόπων στον κόσμο για να μετακομίσει κανείς, λόγω της ραγδαίας αύξησης του κόστους διαβίωσης, της υγειονομικής περίθαλψης και της βασικής εκπαίδευσης.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,-1,0.19999999999999998,0.8179853558540344
Οι ΗΠΑ είναι η καλύτερη χώρα για να ζει κανείς λόγω της πολυπολιτισμικότητας των ευκαιριών και της φυσικής ομορφιάς,"['Οι ΗΠΑ αντιπροσωπεύουν ένα ευρύ φάσμα πολιτισμών και γλωσσών, προσφέροντας διαφορετικές οπτικές και, φυσικά, νόστιμο φαγητό', 'Οι Ηνωμένες Πολιτείες ξεχωρίζουν ως η καλύτερη χώρα για να ζει κανείς, λόγω της πρόσβασης στην εκπαίδευση, της κοινωνικοοικονομικής ευημερίας και της ποιότητας ζωής γενικότερα, μεταξύ άλλων παραγόντων.', 'Καταρχάς, οι Ηνωμένες Πολιτείες είναι μια τόσο μεγάλη χώρα και μεγάλη χώρα σημαίνει περισσότερη γη. Περισσότερη γη σημαίνει περισσότερη φυσική ομορφιά, την οποία μπορείτε να απολαύσετε απλά οδηγώντας έξω από την πόλη για περίπου μία ή δύο ώρες.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.5925925925925926,0.8446764945983887
Η Αμερική είναι μια χώρα με πολλές ευκαιρίες για ανάπτυξη,"['Προσωπικά πιστεύω ότι είναι μια χώρα που προσφέρει μεγάλες ευκαιρίες.', 'Η Αμερική είναι μια χώρα με πολλές ευκαιρίες για ανάπτυξη. Είμαστε ένα ισχυρό έθνος που ενώνεται κάτω από τους ναούς στους οποίους ιδρύθηκε', 'Προσωπικά πιστεύω ότι είναι μια χώρα που προσφέρει μεγάλες ευκαιρίες και καλύτερη ποιότητα ζωής']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.3333333333333333,0.8376461267471313
Οι ΗΠΑ ως παγκόσμια δύναμη ενθαρρύνουν τη μετανάστευση,"['Οι ΗΠΑ είναι το αμερικανικό όνειρο γιατί είναι η παγκόσμια δύναμη, και εκεί όλες οι τεχνολογίες βρίσκονται στο αποκορύφωμά τους', 'Οι ΗΠΑ είναι το αμερικάνικο όνειρο, επειδή είναι η παγκόσμια δύναμη, στην οποία όλες οι τεχνολογίες βρίσκονται στο αποκορύφωμά τους. Αυτό όμως ενθαρρύνει πολλούς ανθρώπους με ανάγκες να μεταναστεύσουν εκεί και να γίνονται ένα μεγάλο βάρος για την κοινωνία', 'Οι ΗΠΑ είναι το αμερικανικό όνειρο γιατί είναι η παγκόσμια δύναμη, και εκεί όλες οι τεχνολογίες βρίσκονται στο αποκορύφωμά τους και παρέχονται ίσες ευκαιρίες']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.23529411764705882,0.8092541098594666
Οι Ηνωμένες Πολιτείες προσφέρουν ευκαιρίες για εξέλιξη,"['στις ΗΠΑ έχεις υγεία και ασφάλεια και μπορείς, αν δουλέψεις, να βγάλεις έναν αξιοπρεπή μισθό', 'Οι Ηνωμένες Πολιτείες σου προσφέρουν την ευκαιρία να έχεις μια σταθερή δουλειά με εξαιρετικό μισθό και ένα καλό περιβάλλον για να ζήσεις', 'Αυτό συναντάται πιο συχνά σε ανθρώπους από τη Λατινική Αμερική, που ψάχνουν ένα μέρος για να βρουν ευκαιρίες εργασίας και επιτυχία. Επίσης, δεδομένης της απόστασης, είναι μια πιο ελκυστική επιλογή.']",Οι ΗΠΑ είναι μια καλή χώρα να ζει κανείς,1,0.125,0.8114632964134216
